

使用心得：搞活动，买了两支，应该是正品吧，相信京东的品质。还没用，用后再来详细评价。,使用心得：没有鉴别是否是正品，买004来送生日礼物的，顺便给自己买了一个001，两个包装不一样，001有一个塑料袋子包装，004的没有。其他的还好吧，赶上活动比较划算。打开的是001粉色的。,使用心得：滋润度很好，温感变色，很适合裸妆。,使用心得：买了2支，本来想买channel 的，但还是信赖京东自营，所以还是买了迪奥,使用心得：甜甜的味道  闻起来 沁人心脾   没有去验证  跟我之前在别的网站买的不一样   但是之前买的有胶皮味儿  还推不开  这个没有  真的很不错  还会再来买?,使用心得：很好，变色的，也不干，就是小贵，颜色喜欢,使用心得：原本要买烈焰蓝金，但是看到图二这个妹子和我要送的女孩子特别像，就买了这款。，我只想问图二的联系方式在哪里，我要看看全脸是不是真的很像,使用心得：是正品，在其他地方买了假的，盒子字体都是错的，LOGO直接是两个D，这次在京东买，回来就对比了，是正品！,使用心得：真心不错，这支。人忽略，看嘴上的颜色和滋润度,使用心得：买来送人的，都不知道挑什么颜色适合
使用心得：快递还可以，比较快，因为京东嘛，为啥那么小一支唇膏用那么大的盒子，好浪费，一点也不环保，上色度不错，不像网上说的那么不太上色什么的，香味好浓，加了好多香精的样子，一点都不像大牌的风格，反而许多小众品牌香味清新自然，不过兰蔻就这种香味没办法，只能说她家的调香师重口味，因为做了功课所以按压了再旋出来，没有损坏，很好，上嘴不像专柜那么丝滑，可能新口红有一层蜡的缘故，当然专柜的试用品已经被千万人的嘴上过，不顺滑才怪，这话我怎么感觉怪怪的，颜色很显娇俏,使用心得：唇膏变这样了，伤心！真是醉了,使用心得：我挑了好几天，最终区确定兰蔻的164，橙色系，适合黄皮肤，纯色深，丝缎系可以遮住，而且我属于唇部皮肤比较干，用这个感觉挺好的。不拔干。,使用心得：很不错，送朋友，朋友用了说很好,使用心得：好喜欢，到处都断货，终于买到了,使用心得：超赞，这个颜色很喜欢，黄皮，显白,使用心得：第一次用兰蔻的唇膏，简直好用的不要不要的，很水润，颜色也美，准备再入手一支，活动时呐买的，超级划算,使用心得：颜色超级好看，亮亮的粉色，荧光有一点点，但是并不明显，阳光下很亮眼！,使用心得：右边是368的手部试色。枚粉色。，还是白皮肤才能涂的颜色。，友情提醒该口红按压上面就直接拔出，千万不要旋转。不然会损坏口红顶部膏体。,使用心得：不错不错不错不错不错不错不错不错


使用心得：我家领导说特别好，反正我也不懂，她说好应该没错,使用心得：十分满意她很喜欢,使用心得：东西不错，物流速度快,使用心得：可以的，很不错,使用心得：…………………

使用心得：本来13号要出差，怕赶不及签收本来想退款的，没想到快递那么快。口红能扫描出产品信息，至于是不是正品本人比较粗心无法鉴别，只是感觉和以前在专柜买的一样好用，容易上色，不干挺滋润的，颜色也正，这样的和正品也没啥差别了。,使用心得：宝贝收到了，已验证，是正品，颜色也非常喜欢，就是物流有点慢，不过等这么长时间也值了，一直很信赖京东，给卖家一个大大的赞，五星！全部五星！????????,使用心得：物流太慢了。但是收到的东西还不错，挺水润的，保湿很好，第一张照片上面是薄涂，下面是厚涂。第三张是强光下的，第四张是正常灯下的。查了二维码和条形码应该是真的。试了这款304以后感觉像YSL52（星星色）的加深款，只是涂起来，薄涂可以和星星色媲美！但是感觉304比较适合皮肤白的妹纸（本人感觉有些挑皮），超显气色，夏天薄涂，冬天厚涂，但是不管怎样涂都要做好唇部打底,使用心得：口红看着不错，包装也精美，希望用的好，挺好的第三方，发货也快，京东商城的推荐值得信赖,使用心得：润润的，特别是味道好闻,使用心得：。。。。。。。。,使用心得：不知是否正品，颜色还可以，客服回复很慢很慢。体验一次京东购物，这个物流慢的也是可以，不知道为什么说京东物流很好。照片供大家鉴定。,使用心得：应该是正品吧，媳妇说颜色味道都不错,使用心得：包装的很好，颜色很好，五星好评,使用心得：很好！很满意！女朋友很喜欢！啦啦啦！


使用心得：第一次买，很不错,使用心得：喜欢喜欢????,使用心得：不错不错非常好，颜色很好看，还是很划算的一次购物,使用心得：不错，奢侈品就是不一样,使用心得：不错不错，应该是正品，送女朋友的，很喜欢,使用心得：给女朋友买的，今天收到了，还没用。包装有待提高！,使用心得：包装外观有些磨损  其他的都还好  拿来送人的,使用心得：原包装很渣，送到袋子可以用，挺好,使用心得：包装各方面看起来还不错  还没给女朋友用过所以还不知道好不好。,使用心得：一共六个字。
使用心得：客服很热情，推荐的都很满意，还有兰蔻香水，护手霜小礼物。来个香奈儿外包装手提袋就完美了。,使用心得：包装的还可以，店家很用心的用保鲜膜把口红还包了几层，是正品，口红香香的，而且超级漂亮的，很满意，下次就在这家店买了,使用心得：东西挺小巧的，没有用，不知道效果怎么样,使用心得：是正品，送对象的 ，对象很喜欢,使用心得：香奈儿这个名牌子应该来说是好用的，可是我收到这去款确不像我想的那么好，搽上嘴唇有一种厚厚的感觉挺不爽的真有点像假的，虽然我不怎么喜欢这款宝贝，但用这个牌子的其也宝贝都还足挺满意的比喻香水邂逅我就挺喜欢a,使用心得：送老婆的生日礼物，老婆很开心，谢谢店家送的礼物！非常好,使用心得：颜色感觉不是想象中的，但用了还是挺喜欢的，就是有点干，图片带美颜效果,使用心得：昨天下午三点多才下订单的，我都没有收到货，怎么显示交易成功？是我不小心按了确认了吗？还是怎么回事？我都没有收到货啊！崩溃！,使用心得：客服服务态度特别好，物流也快。口红很漂亮，还有好多赠品。,使用心得：送朋友的超级喜欢，而且还有礼品哟，送人大气美观





使用心得：非常好，滋润度也不错，颜色非常喜欢，卖的很火的一款颜色，很满意。,使用心得：好好好好好好好好好好好好好,使用心得：不好意思，评价晚了，口号颜色很正！很喜欢！谢谢卖家的小礼物！,使用心得：保湿时间长，不油腻，颜色也很满意，挺好,使用心得：滋润效果好，嘴唇不干了，还不掉色，挺好,使用心得：颜色很正，很滋润，不错的一款口红,使用心得：已到手 没去专柜验货 感觉应该是正品 很喜欢 丝绒偏干,使用心得：厉害了，非常快，很满意,使用心得：很好，她很喜欢，颜色恰当好处,使用心得：是我喜欢的颜色，之前一直担心有色差。我的担心是多余的，颜色跟图片一样很正
使用心得：包装简陋了点，上色后效果挺好看的，就是唇部靠里面一点的地方不容易上色,使用心得：东西不确定是不是正品，但是很喜欢，一次满意的购物。,使用心得：送小朋友的礼物，小朋友很满易的,使用心得：可以，老婆很喜欢,使用心得：不赖非常满意,使用心得：送朋友的 她很喜欢,使用心得：很不错的，产品哦，不过还没有试用不知道效果怎么样，等待女神使用后效果确认，相信她会喜欢的,使用心得：效果非常棒，效果特别棒，效果特别好，高端大气上档次，低调奢华有内涵,使用心得：很不错，    颜色也好看。,使用心得：效果蛮不错的，但包装不完整，总感觉哪里怪怪的



使用心得：口红味道不错，颜色很亮，抹上不掉色，保湿效果好，是正品！,使用心得：颜色好漂亮 不愧为兰蔻家的主打色 口红的香味和欧莱雅巨星那款的香味一样 适合化妆的美妹，棒棒哒，显色度超级好,使用心得：宝贝本人已收到，我用了一下挺不错的，挺适合我这个年龄使用，不错的一次购物，而且可以随身携带太好了，下次还来买，哈哈。,使用心得：口红很满意，湿润而且颜色是我喜欢的，应该是正品，物美价廉！下次还会回购！,使用心得：质量不错，颜色好看，保湿效果好，值得推荐,使用心得：口红不错的，颜色很喜欢，滋润效果好，是正品，质量不错，非常满意的好评,使用心得：颜色很漂亮 价格不贵 包装精美我是买来送人了 哈 哈 很满意,使用心得：唇膏补水效果很好，用着很好用,使用心得：口红颜色我很喜欢，很滋润。小巧玲珑，方便携带。,使用心得：图片的颜色和回来的不一样，太暗了



使用心得：很好上色，味道也不错，颜色和之前用的红色比较，更柔和一些，喜欢！,使用心得：宝贝和五号电池差不多大，味道还是蛮喜欢的！,使用心得：给女儿定的，用手试试，不干挺滋润的，而且颜色挺好看的，但愿女儿喜欢。,使用心得：东西收到，一次买了两管。很满意，润而不油，保湿效果非常好。,使用心得：香味很不错呀！颜色也很适合二十多岁的使用,使用心得：宝贝收到了好喜欢真的很好好好好好,使用心得：兰蔻小样很好，好用，很漂亮,使用心得：送给别人人，我有点不适合,使用心得：口红还行，不错，就是太小了,使用心得：颜色喜欢，也很润，味道好闻

使用心得：快递还可以，比较快，因为京东嘛，为啥那么小一支唇膏用那么大的盒子，好浪费，一点也不环保，上色度不错，不像网上说的那么不太上色什么的，香味好浓，加了好多香精的样子，一点都不像大牌的风格，反而许多小众品牌香味清新自然，不过兰蔻就这种香味没办法，只能说她家的调香师重口味，因为做了功课所以按压了再旋出来，没有损坏，很好，上嘴不像专柜那么丝滑，可能新口红有一层蜡的缘故，当然专柜的试用品已经被千万人的嘴上过，不顺滑才怪，这话我怎么感觉怪怪的，颜色很显娇俏,使用心得：唇膏变这样了，伤心！真是醉了,使用心得：这款颜色特现肤色白，棒棒啦,使用心得：很不错，送朋友，朋友用了说很好,使用心得：好喜欢，到处都断货，终于买到了,使用心得：超赞，这个颜色很喜欢，黄皮，显白,使用心得：第一次用兰蔻的唇膏，简直好用的不要不要的，很水润，颜色也美，准备再入手一支，活动时呐买的，超级划算,使用心得：同时入了369跟114，买了第一天无比后悔，因为网上评价114黄皮唇深一涂黑八度，本来想着到货不拆就退的，可是因为一直想要个橘色款，忍不住试了个色，挺好的啊！好开心,使用心得：超级喜欢！在专柜试色就超爱这个114,使用心得：右边是368的手部试色。枚粉色。，还是白皮肤才能涂的颜色。，友情提醒该口红按压上面就直接拔出，千万不要旋转。不然会损坏口红顶部膏体。





使用心得：送过女朋友的，女朋友很开心，估计是质量不错吧哈哈哈,使用心得：送了个小袋子，口红是拿礼盒装起来的，希望女朋友会喜欢吧。,使用心得：选了好几家最后在这里买的，主要是看上了京东配送，送货快，也安全保险，不会担心摔坏或者怎样，但打开看看还是有些气泡，所以不是很理想，但是包装很不错，我个人评价就这些，顺颂商祺,使用心得：打开包装，很惊喜，简直太漂亮了！非常喜欢！,使用心得：东西挺不错的  最主要的是真的!!!,使用心得：速度很快，送人的，颜色很喜欢,使用心得：东西不错，媳妇儿挺喜欢,使用心得：红红火火恍恍惚惚哈哈哈,使用心得：颜色非常好，正品,使用心得：很喜欢这口红
